CountryCode,Goals,MatchesPlayed,MinutesPlayed,Player
ITA,6,7,534,Salvatore SCHILLACI
TCH,5,5,450,Tomas SKUHRAVY
CMR,4,4,162,Roger MILLA
ESP,4,4,390,MICHEL
FRG,4,7,660,Lothar MATTHAEUS
ENG,4,7,713,Gary LINEKER
ENG,3,6,408,David PLATT
FRG,3,6,420,Rudi VOELLER
FRG,3,6,570,Andreas BREHME
FRG,3,7,629,Juergen KLINSMANN
YUG,2,3,182,Darko PANCEV
COL,2,3,209,Bernardo REDIN
ROU,2,4,229,Gavril BALINT
ROU,2,3,267,Marius LACATUS
BRA,2,4,295,MULLER
BRA,2,4,353,CARECA
ITA,2,5,376,Roberto BAGGIO
TCH,2,5,427,Michal BILEK
YUG,2,5,510,Davor JOZIC
YUG,2,5,510,Dragan STOJKOVIC
ARG,2,6,555,Claudio CANIGGIA
CMR,1,0,0,Eugene EKEKE
TCH,1,1,14,Milan LUHOVY
URU,1,1,34,Pablo BENGOECHEA
CRC,1,3,79,Hernan MEDFORD
ITA,1,3,108,Aldo SERENA
SWE,1,3,116,Glenn STROMBERG
URU,1,2,118,Daniel FONSECA
SWE,1,2,118,Johnny EKSTROM
BEL,1,3,120,Patrick VERVOORT
NED,1,4,163,Wim KIEFT
YUG,1,3,167,Robert PROSINECKI
KOR,1,2,169,HWANG Bo Kwan
UAE,1,2,172,KHALID ISMAIL
AUT,1,2,174,Gerhard RODAX
URS,1,2,180,Andrei ZYGMANTOVICH
SWE,1,3,214,Tomas BROLIN
URS,1,3,215,Aleksandr ZAVAROV
UAE,1,3,225,Ali Thani JUMAA
AUT,1,3,225,Andeas OGRIS
FRG,1,4,247,Uwe BEIN
USA,1,3,249,Bruce MURRAY
USA,1,3,250,Paul CALIGIURI
URS,1,3,251,Igor DOBROVOLSKYI
BEL,1,3,255,Leo CLIJSTERS
URS,1,3,255,Oleg PROTASOV
IRL,1,4,269,Niall QUINN
EGY,1,3,270,Magdy ABDELGHANY
SCO,1,3,270,Mo JOHNSTON
SCO,1,3,270,Stuart McCALL
ARG,1,4,278,Pedro MONZON
ESP,1,3,298,JULIO SALINAS
ESP,1,4,311,Alberto GORRIZ
CMR,1,4,313,Emmanuel KUNDE
FRG,1,5,330,Pierre LITTBARSKI
BEL,1,4,334,Marc DE GRIJSE
BEL,1,4,345,Jan CEULEMANS
CRC,1,4,348,Juan CAYASSO
TCH,1,4,350,Lubos KUBIK
NED,1,4,360,Ronald KOEMAN
CRC,1,4,360,Roger FLORES
NED,1,4,360,Ruud GULLIT
CRC,1,4,360,Ronald GONZALEZ
COL,1,4,368,Freddy RINCON
BEL,1,4,390,Michel DE WOLF
BEL,1,4,390,Enzo SCIFO
COL,1,4,390,Carlos VALDERRAMA
YUG,1,5,416,Safet SUSIC
ARG,1,6,438,Pedro TROGLIO
TCH,1,5,450,Ivan HASEK
IRL,1,5,452,Kevin SHEEDY
CMR,1,5,510,Francois OMAM-BIYIK
ITA,1,7,585,Giuseppe GIANNINI
ENG,1,6,612,Mark WRIGHT
ARG,1,7,623,Jorge BURRUCHAGA
